,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
164,Tokyo Kitchen,20 Charles Street E,Japanese,4.0,164,$$,2,43.6690940080509,-79.3851124367706,"43.6690940080509,-79.3851124367706",4048
165,Pisac Peruvian Bistro,16 Dupont St,Peruvian,4.5,21,,0,43.67724,-79.39836,"43.67724,-79.39836",5806
166,Completo,5 Coady Avenue,Latin American,4.5,169,$,1,43.6626328,-79.3340575,"43.6626328,-79.3340575",6918
167,Nuna Kitchen & Bar,1265 Queen Street W,International,5.0,12,,0,43.64154,-79.43112,"43.64154,-79.43112",5793
168,La Latina,150 Eglinton Ave E,Mexican,4.5,23,,0,43.70786301101772,-79.39415596425533,"43.70786301101772,-79.39415596425533",8999
169,A La Turk,3443 Yonge Street,Turkish,4.5,58,,0,43.73357,-79.40419,"43.73357,-79.40419",11336
170,Meta Dos Leitoes,218 Geary Avenue,Portuguese,4.5,7,$$,2,43.66984,-79.43848,"43.66984,-79.43848",11247
171,Mama Lee's Korean Kitchen,16 Yonge Street,Korean,4.0,23,,0,43.64325,-79.37636,"43.64325,-79.37636",1519
172,Buca Yorkville,53 Scollard Street,Italian,4.0,204,$$$,3,43.67214,-79.3894,"43.67214,-79.3894",4555
173,Tachi,111 Richmond Street W,Sushi Bars,4.5,175,$$$$,4,43.6502911,-79.3839517,"43.6502911,-79.3839517",1564
174,Pantheon Restaurant,407 Danforth Avenue,Greek,4.0,341,$$,2,43.67744,-79.35129,"43.67744,-79.35129",10129
175,Wvrst,609 King Street W,German,4.0,826,$$,2,43.64418555054,-79.401014855291,"43.64418555054,-79.401014855291",1718
176,Chef's Hall,111 Richmond Street W,Food Court,4.0,312,$$,2,43.6503522,-79.3837951,"43.6503522,-79.3837951",1564
177,Karlovo,469 Cosburn Avenue,Delis,4.5,2,,0,43.69265,-79.33393,"43.69265,-79.33393",12903
178,Cactus Club Cafe,77 Adelaide Street W,Cocktail Bars,4.0,581,$$,2,43.64950420768667,-79.38251803088575,"43.64950420768667,-79.38251803088575",1842
179,Omai Restaurant,3 Baldwin Street,Japanese,4.0,122,$$,2,43.6561,-79.39234,"43.6561,-79.39234",2346
180,Gushi Japanese Street Food,296 Gerrard Street East,Japanese,4.0,16,,0,43.66255,-79.36741,"43.66255,-79.36741",4075
181,Mimi Chinese,265 Davenport Road,Chinese,4.0,42,,0,43.67411,-79.3982,"43.67411,-79.3982",5410
182,Alder,51 Camden Street,Desserts,4.0,15,,0,43.6467,-79.39809,"43.6467,-79.39809",2025.9999999999998
183,The Golden Pheasant,733 Lakeshore Road E,Modern European,4.5,63,$$,2,43.57077,-79.56565,"43.57077,-79.56565",20868
