,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
791,Los Cuervos Taqueria Y Cantina,603 Kingsway,Mexican,4.0,181,$$,2,49.2574755005862,-123.091043941677,"49.2574755005862,-123.091043941677",4523.0
792,Saucin Staples,1073 W Broadway,Indian,4.5,18,,0,49.2637181,-123.1283372,"49.2637181,-123.1283372",4412.0
793,Red Umbrella Cafe,1707 Davie Street,Breakfast & Brunch,3.5,192,$$,2,49.28666,-123.14036,"49.28666,-123.14036",3088.0
794,Nene Chicken,1070 Kingsway,Korean,3.5,26,,0,49.25320321803776,-123.0824580052292,"49.25320321803776,-123.0824580052292",5424.0
795,Pizzeria Grano,3240 Main Street,Pizza,4.5,22,,0,49.2561903,-123.1010467,"49.2561903,-123.1010467",4356.0
796,Pampanga’s Cuisine,6094 Fraser Street,Filipino,3.5,7,,0,49.2292835,-123.0904266,"49.2292835,-123.0904266",10896.0
797,Hashigo - Sake Dining ,1265 Granville St,Japanese,4.5,3,,0,49.27658,-123.12765,"49.27658,-123.12765",2017.0
798,Tropika On Cambie,2975 Cambie Street,Malaysian,3.0,171,$$,2,49.2589,-123.11538,"49.2589,-123.11538",3771.0
799,The Only Cafe,2678 W 4th Avenue,Cafes,4.5,73,$$,2,49.2682143637918,-123.165559578504,"49.2682143637918,-123.165559578504",5635.0
800,The Spud Shack Fry,800 Carnarvon Street,Belgian,4.0,188,$$,2,49.2014705081833,-122.913423193832,"49.2014705081833,-122.913423193832",26496.0
801,Per Se Social Corner,891 Homer Street,Pizza,3.5,228,$$,2,49.2785831916346,-123.118480343303,"49.2785831916346,-123.118480343303",1459.0
802,Dalina,687 Main Street,Grocery,4.5,80,$$,2,49.27871720471554,-123.1000357527092,"49.27871720471554,-123.1000357527092",1872.0
803,Urban Tadka,1370 E Georgia St,Indian,5.0,9,,0,49.27827,-123.07566,"49.27827,-123.07566",3768.0
804,D/6 Bar & Lounge,39 Smithe Street,Tapas Bars,3.5,45,$$$,3,49.2752965096471,-123.113096505959,"49.2752965096471,-123.113096505959",2151.0
805,Mangia E Bevi Ristorante,2222 Marine Drive,Italian,4.5,30,$$$,3,49.3310728,-123.1722662,"49.3310728,-123.1722662",9760.0
806,Tsuki Sushi Bar,509 Abbott Street,Sushi Bars,4.0,193,$$,2,49.2809829711914,-123.10765838623,"49.2809829711914,-123.10765838623",1106.0
807,Casa di Amici Restaurant,1747 Marine Drive,Italian,4.0,47,$$$,3,49.3287949,-123.1612972,"49.3287949,-123.1612972",8909.0
808,Provence Marinaside,1177 Marinaside Crescent,Seafood,3.5,354,$$$,3,49.2733385,-123.1194637,"49.2733385,-123.1194637",2328.0
809,Hungry Guys Kitchen,988 Granville Street,Salad,4.0,88,$,1,49.2793016,-123.1226759,"49.2793016,-123.1226759",1533.0
810,Kwong Chow Congee & Noodle House,3163 Main St,Chinese,3.5,127,$$,2,49.257,-123.10151,"49.257,-123.10151",4267.0
811,Catch 122,128 Carrie Cates Court,Breakfast & Brunch,4.0,529,$$,2,49.3106220868748,-123.0806818644178,"49.3106220868748,-123.0806818644178",11128.0
812,Yugo Restaurant,4265 Main Street,Japanese,4.0,113,$$$,3,49.24753,-123.10152,"49.24753,-123.10152",5369.0
813,Le Petit Saigon,2783 Hastings Street E,Vietnamese,4.0,219,$,1,49.2812749,-123.0473489,"49.2812749,-123.0473489",5433.0
814,Izakaya Gon's,854 Denman Street,Japanese,3.5,61,,0,49.2904696,-123.136696,"49.2904696,-123.136696",2504.0
815,The Cranky Old Fork,200-1001 West Broadway,Pizza,5.0,1,,0,49.26375,-123.12711,"49.26375,-123.12711",4578.0
816,JOY Cafe,525 SW Marine Dr,Cafes,3.5,27,$$,2,49.2098293,-123.1182943,"49.2098293,-123.1182943",11414.0
817,Cioppino's Mediterranean Grill,1133 Hamilton Street,Mediterranean,4.0,194,$$$$,4,49.275522,-123.121794,"49.275522,-123.121794",2233.0
818,Xi'an Cuisine,8260 Westminster Highway,Chinese,4.0,82,$,1,49.1700051,-123.1331254,"49.1700051,-123.1331254",17490.0
819,Pacific Poke,625 Main Street,Hawaiian,4.5,148,$$,2,49.2789026,-123.0999663,"49.2789026,-123.0999663",1817.0
820,L'Orangerie Dining Room & Loung,788 Richards Street,Tea Rooms,4.5,5,,0,49.2805155384128,-123.116902448237,"49.2805155384128,-123.116902448237",1263.0
821,Jang Mo Jib,808 Bute Street,Korean,3.0,18,$,1,49.2857582,-123.1271311,"49.2857582,-123.1271311",1485.0
822,OEB Breakfast Co,4525 Lougheed Highway,Breakfast & Brunch,4.0,206,$$,2,49.26653801731451,-123.00198868952728,"49.26653801731451,-123.00198868952728",10385.0
823,El Inka Latin Deli,3826 Sunset Street,Peruvian,4.5,56,$$,2,49.24941,-123.01912,"49.24941,-123.01912",10661.0
824,Chili Pepper House,3003 Kingsway,Hakka,4.0,160,$$,2,49.2362803933814,-123.04171188163,"49.2362803933814,-123.04171188163",9588.0
825,Mordimi Bite Of Italy,2638 East Hastings Street,Italian,4.5,13,,0,49.2810168408546,-123.050953634083,"49.2810168408546,-123.050953634083",5094.0
826,Ignite Pizzeria,508 W Cordova St,Pizza,4.5,44,$,1,49.2847587936463,-123.111099839934,"49.2847587936463,-123.111099839934",449.0
827,MeetRice Noodle,4488 Main Street,Chinese,4.0,18,,0,49.24461,-123.10088,"49.24461,-123.10088",5694.0
828,Field & Social,18 E 5th Avenue,Salad,3.5,2,,0,49.2663416,-123.1042597,"49.2663416,-123.1042597",3467.0
829,Paul's Omelettery Restaurant,2211 Granville Street,Breakfast & Brunch,4.0,299,$$,2,49.26597,-123.1389,"49.26597,-123.1389",3546.0
830,Fassil Ethiopian Restaurant,736 Broadway E,Ethiopian,4.5,144,$$,2,49.262316686122,-123.08833077466,"49.262316686122,-123.08833077466",4449.0
831,1931 Gallery Bistro,750 Hornby Street,Breakfast & Brunch,4.0,45,,0,49.2830721,-123.1208098,"49.2830721,-123.1208098",1300.0
832,Z&W Shanghai,2126 W Broadway,Chinese,4.0,22,,0,49.2635679666207,-123.153370158669,"49.2635679666207,-123.153370158669",4762.0
833,La Fourchette,1951 Glen Drive,Breakfast & Brunch,4.0,6,$,1,49.2692777,-123.0814128,"49.2692777,-123.0814128",3950.0
834,Chez Michel,1373 Marine Drive,French,4.0,10,,0,49.3279271,-123.153559,"49.3279271,-123.153559",8339.0
835,JINYA Ramen Bar - Vancouver,541 Robson St.,Ramen,4.0,406,$$,2,49.28031515071204,-123.11793569570304,"49.28031515071204,-123.11793569570304",1161.0
836,The Stable House Bistro,1520 W 13th Avenue,French,4.0,97,$$,2,49.2597322720703,-123.140207185371,"49.2597322720703,-123.140207185371",4291.0
837,The Flying Whale Waterfront Cafe,201 - 999 Canada Place,Cafes,5.0,1,,0,49.2892871686,-123.110275449,"49.2892871686,-123.110275449",0.0
838,Uno Beef Noodle,135 - 2811 Number 3 Road,Noodles,4.5,50,$$,2,49.19321810995712,-123.12980856746434,"49.19321810995712,-123.12980856746434",13227.0
839,Kuma Japanese Restaurant,3446 Dunbar Street,Japanese,4.0,62,$$,2,49.2559752144088,-123.18496362209,"49.2559752144088,-123.18496362209",7929.0
840,Delhi 6 Indian Bistro,1766 W 7th Avenue,Indian,4.5,128,$$,2,49.2653386,-123.1449329,"49.2653386,-123.1449329",4522.0
841,Salmon House On the Hill,2229 Folkestone Way W,Seafood,4.0,130,$$$,3,49.34470238694839,-123.17436977605745,"49.34470238694839,-123.17436977605745",11275.0
842,Quesada Burritos and Tacos,1055 Canada Place,Mexican,4.5,3,,0,49.28914,-123.11606,"49.28914,-123.11606",747.0
843,Smitty’s Oyster House,3124 Main St,Seafood,3.5,9,,0,49.25709,-123.10085,"49.25709,-123.10085",4298.0
844,CRAFT Beer Market,85 W 1st Avenue,Beer Bar,3.5,514,$$,2,49.2702147,-123.1060713,"49.2702147,-123.1060713",2968.0
845,Popina Canteen,1691 Johnston St,Burgers,3.0,78,,0,49.2726262,-123.1356265,"49.2726262,-123.1356265",4266.0
846,Old Beijing Roast Duck,1643 W Broadway,Chinese,2.0,60,$$$$,4,49.26394,-123.14211,"49.26394,-123.14211",4119.0
847,Cantina Norte,3246 Connaught Crescent,Mexican,4.0,9,,0,49.3388201282967,-123.10217644307914,"49.3388201282967,-123.10217644307914",10083.0
848,NOVO Pizzeria & Wine Bar,2118 Burrard Street,Wine Bars,4.0,152,$$,2,49.2666178,-123.1454221,"49.2666178,-123.1454221",4345.0
849,R&B Brewing,54 E 4th Avenue,Breweries,4.0,68,$,1,49.26725896252061,-123.10330380118866,"49.26725896252061,-123.10330380118866",3299.0
850,La Cigale French Bistro,1961 W 4th Avenue,French,4.0,151,$$,2,49.2683296,-123.1494293,"49.2683296,-123.1494293",4513.0
851,Hoshi Japanese Cuisine,1010 Beach Avenue,Japanese,4.0,22,,0,49.27598,-123.1340381,"49.27598,-123.1340381",3007.0
852,Scratch Kitchen,437 N Dollarton Highway,Pizza,4.5,47,,0,49.307353,-122.953891,"49.307353,-122.953891",15574.0
853,Viet Mama Cafe,5118 Victoria Drive,Vietnamese,4.0,63,,0,49.2379348,-123.0652077,"49.2379348,-123.0652077",7654.0
854,Klasik Inasal & Noodle Express,650 E Broadway,Filipino,3.5,14,,0,49.2623351,-123.0900107,"49.2623351,-123.0900107",4327.0
855,Picado,605 West Pender Street,Halal,4.0,3,,0,49.2841935,-123.1139063841478,"49.2841935,-123.1139063841478",585.0
856,Patterson Wonton House,917 Davie Street,Chinese,3.5,43,$,1,49.2786857,-123.1282815,"49.2786857,-123.1282815",1807.0
857,Pho Gold Train,550 Nelson Street,Vietnamese,4.0,39,$,1,49.2783062037165,-123.121842,"49.2783062037165,-123.121842",1477.0
858,Lucky Taco,1685 Yew Street,Mexican,3.5,59,$$,2,49.2710692786403,-123.155103591134,"49.2710692786403,-123.155103591134",4441.0
859,Pasta Hero,642 SE Marine Drive,Italian,4.5,2,,0,49.2106336,-123.0923888,"49.2106336,-123.0923888",13597.0
860,Big Bowl Rice,505 Dunsmuir Street,Taiwanese,3.5,32,$,1,49.2825745,-123.1145572,"49.2825745,-123.1145572",1198.0
861,Laurelle's Fine Foods,1689 Johnston Street,Bakeries,4.0,37,$,1,49.2726237,-123.1356235,"49.2726237,-123.1356235",4266.0
862,Flying Fish N Chipper,400 Industrial Avenue,Food Trucks,4.0,6,,0,49.2693508339235,-123.095907457173,"49.2693508339235,-123.095907457173",3121.0
863,Genki Eki Noodle bar,693 West Broadway,Japanese,3.0,1,,0,49.263459,-123.119582,"49.263459,-123.119582",4996.0
864,Donair Thyme,310 Carrall Street,Donairs,0.0,0,,0,49.28211,-123.10373,"49.28211,-123.10373",1295.0
865,Prado Cafe,1809 Fir Street,Coffee & Tea,4.0,14,,0,49.269532,-123.1409449,"49.269532,-123.1409449",4018.0
866,FRESH Sushi,909 Expo Boulevard,Japanese,4.0,125,$$,2,49.2757061,-123.1151383,"49.2757061,-123.1151383",2366.0
867,Mui Ngo Gai,2052 Kingsway,Vietnamese,4.0,218,$,1,49.2445748,-123.0642461,"49.2445748,-123.0642461",7026.0
868,The Filipino Noodle Joint,111-180 Keefer Street,Filipino,4.0,10,,0,49.27897,-123.10134,"49.27897,-123.10134",1719.0
869,Passion8 Dessert Cafe,3010 Cambie Street,Desserts,4.0,206,$$,2,49.258435242883,-123.11499774456,"49.258435242883,-123.11499774456",3781.0
870,Sahel Market & Restaurant,3207 West  Broadway,Persian/Iranian,4.5,31,$,1,49.2643454,-123.176155,"49.2643454,-123.176155",6363.0
871,La Petite Crepe,1109 W Pender Street,Creperies,4.0,48,$,1,49.2877669,-123.1207649,"49.2877669,-123.1207649",802.0
872,Harbourside Cafe,828 Harbourside Drive,Restaurants,4.0,5,,0,49.3146605,-123.0959665,"49.3146605,-123.0959665",10196.0
873,Sai Woo,158 East Pender Street,Asian Fusion,3.5,162,$$,2,49.28015,-123.10099,"49.28015,-123.10099",1611.0
874,Al Basha,1937 Cornwall Avenue,Halal,4.0,39,$,1,49.2726149,-123.1486678,"49.2726149,-123.1486678",3813.0
875,The Ballyhoo Public House,103-888 Burrard Street,Pubs,4.0,8,,0,49.28210210327892,-123.12397015451256,"49.28210210327892,-123.12397015451256",1266.0
876,Stages Bistro & Lounge,711 Broadway W,Lounges,3.0,22,$$,2,49.26376,-123.12046,"49.26376,-123.12046",4949.0
877,Nemesis Coffee,302 W Hastings Street,Cafes,4.5,200,$$,2,49.28281595985871,-123.11027107703038,"49.28281595985871,-123.11027107703038",746.0
878,Bistro Olé,1180 W Hastings St,Cafes,5.0,1,,0,49.28835,-123.12217,"49.28835,-123.12217",865.0
879,Budgies Burritos,44 Kingsway,Vegetarian,4.0,281,$,1,49.2634464768729,-123.100247082572,"49.2634464768729,-123.100247082572",3785.0
880,La La Island,2951 W Broadway,Bakeries,4.5,3,,0,49.26435443750349,-123.171443449561,"49.26435443750349,-123.171443449561",6030.0
881,Encore Suite,800 Griffiths Way,Sports Bars,4.5,3,$$,2,49.2776420028873,-123.109174971689,"49.2776420028873,-123.109174971689",2751.0
882,Gokudo Shabu Shabu-Burnaby,4501 Kingsway,Hot Pot,4.5,78,,0,49.230327,-123.003807,"49.230327,-123.003807",13840.0
883,Knight Street Cafe,3911 Knight Street,Cafes,4.5,82,$$,2,49.2497276,-123.0762149,"49.2497276,-123.0762149",6218.0
884,Kafka's Coffee & Tea,120-577 Great Northern Way,Coffee & Tea,4.5,8,,0,49.2671871611834,-123.09042642394256,"49.2671871611834,-123.09042642394256",3778.0
885,Pudgie's Pizza & Pasta,6620 Royal Avenue,Pizza,4.5,33,$,1,49.3738202,-123.2746456,"49.3738202,-123.2746456",21314.0
886,Kaori Izakaya,3043 Main Street,Japanese,3.5,40,,0,49.2579727,-123.1013667,"49.2579727,-123.1013667",4158.0
887,Momiji Japanese Cuisine,3720 Mt Seymour Parkway,Japanese,4.0,39,$$,2,49.3160234,-122.9689644,"49.3160234,-122.9689644",14949.0
888,Thank You Pizza,789 Gore Avenue,Pizza,5.0,2,,0,49.2777593,-123.0971862,"49.2777593,-123.0971862",2134.0
889,Sal y Limon Mexican Cuisine,1752 Commercial Drive,Mexican,4.0,9,,0,49.2688592,-123.0693878,"49.2688592,-123.0693878",5185.0
890,Kyuzo Japanese Restaurant,5701 Granville Street,Japanese,3.0,25,$$,2,49.2340910613824,-123.140119984746,"49.2340910613824,-123.140119984746",6915.0
891,The Story Cafe Eatery & Bar,2800 Sexsmith Road,Bars,4.0,128,$$,2,49.193649,-123.1279051,"49.193649,-123.1279051",13340.0
892,Shanghai Lu,705 W Broadway,Dim Sum,2.5,57,$$,2,49.2634754435166,-123.120027557015,"49.2634754435166,-123.120027557015",4993.0
893,BT Cafe,920 Kingsway,Coffee & Tea,4.0,92,$,1,49.25415,-123.0852,"49.25415,-123.0852",5114.0
894,Jollibee,833 Granville Street,Chicken Shop,3.0,51,$$,2,49.28115470989199,-123.12067249019566,"49.28115470989199,-123.12067249019566",1296.0
895,Hydra Estiatorio,825 W Pender Street,Mediterranean,3.5,97,$$$,3,49.2856276,-123.1160679,"49.2856276,-123.1160679",528.0
896,JJ's Fine Dining,250 W Pender St,Cafes,4.5,16,$$,2,49.2813,-123.11124,"49.2813,-123.11124",1000.9999999999999
897,ZUBU,788 Main Street,Ramen,4.0,27,,0,49.32601541461572,-123.1391443513566,"49.32601541461572,-123.1391443513566",7658.0
898,The Narcissus,1701 Powell Street,Cafes,4.5,12,,0,49.28423,-123.06998,"49.28423,-123.06998",3500.0
899,Itosugi Kappo Cuisine,3648 W Broadway,Japanese,4.0,10,,0,49.26423649675246,-123.1848633,"49.26423649675246,-123.1848633",6995.0
900,Hy's Steakhouse & Cocktail Bar,637 Hornby Street,Steakhouses,4.0,338,$$$$,4,49.28468,-123.11927,"49.28468,-123.11927",711.0
901,Hubbub,859 Hornby Street,Sandwiches,4.0,226,$,1,49.2820063076819,-123.12302492559,"49.2820063076819,-123.12302492559",1497.0
902,Evelyn's Coffee Shop,2176 W Broadway,Diners,4.5,41,$,1,49.2637323,-123.1548308,"49.2637323,-123.1548308",4810.0
903,Pizzeria Ludica,189 Keefer Place,Pizza,4.0,179,$$,2,49.2800427277576,-123.108486811639,"49.2800427277576,-123.108486811639",1355.0
904,Kinemi's Kitchen,7751 Champlain Crescent,Pizza,4.0,78,$$,2,49.2142196,-123.0301573,"49.2142196,-123.0301573",14838.0
905,Belvedere Cafe,1455 Quebec Street,Food Trucks,4.0,3,$$,2,49.273353,-123.10388,"49.273353,-123.10388",2389.0
906,Four Winds Brewing,4-7355 72nd Street,Mexican,4.5,60,$$,2,49.13632,-123.026946,"49.13632,-123.026946",28072.0
907,ZamZam,2128 Kingsway,Middle Eastern,4.5,34,,0,49.2440371,-123.0631221,"49.2440371,-123.0631221",7263.0
908,The Gray Olive Cafeteria,4190 Hastings Street,Breakfast & Brunch,4.0,211,$$,2,49.2807699,-123.01164,"49.2807699,-123.01164",7994.0
909,The Greek,221 Carrall Street,Greek,3.5,32,,0,49.2828288,-123.1044349,"49.2828288,-123.1044349",1356.0
910,Uva Wine & Cocktail Bar,900 Seymour Street,Wine Bars,4.0,203,$$,2,49.27946,-123.12045,"49.27946,-123.12045",1263.0
911,Siam Le Bien,4217 Hastings St,Thai,4.5,63,$$,2,49.2813,-123.010676,"49.2813,-123.010676",8028.000000000001
912,Fatburger,255 W Broadway,Burgers,3.0,80,$$,2,49.26331,-123.11074,"49.26331,-123.11074",3572.0
913,The Sauce Pasta Cafe,861 Denman Street,Italian,4.0,26,,0,49.2906563,-123.1369526,"49.2906563,-123.1369526",2502.0
914,Caffe Barney,2975 Granville St,Bars,3.5,147,$$,2,49.25918,-123.13915,"49.25918,-123.13915",4224.0
915,Landmark Hotpot House,4023 Cambie Street,Chinese,4.0,120,$$$,3,49.2498660758194,-123.11556053834,"49.2498660758194,-123.11556053834",6993.0
916,Tokyo John,3365 Cambie Street,Japanese,3.5,27,$$,2,49.2554815577035,-123.115322627127,"49.2554815577035,-123.115322627127",4109.0
917,La Quercia,3689 W 4th Avenue,Italian,4.0,200,$$$,3,49.2687649,-123.1853601,"49.2687649,-123.1853601",7075.0
918,Indian Fusion Restaurant,2045 Lonsdale Avenue,Indian,4.5,191,$$,2,49.327957,-123.0724116,"49.327957,-123.0724116",13458.0
919,La Taqueria Food Truck,,Food Trucks,4.5,7,,0,49.261226,-123.1139268,"49.261226,-123.1139268",3768.0
920,Rosemary Cafe,1497 Franklin St,Sandwiches,4.0,1,,0,49.2823952,-123.0742956,"49.2823952,-123.0742956",3539.0
921,Acquafarina,425 W Georgia Street,Italian,4.0,10,,0,49.28111788947515,-123.11552448888744,"49.28111788947515,-123.11552448888744",1078.0
922,Kitanoya Guu Garlic,1698 Robson Street,Japanese,4.0,16,,0,49.29065,-123.133761,"49.29065,-123.133761",2178.0
923,The Keg Steakhouse + Bar - Granville Island,1499 Anderson St,Steakhouses,3.5,199,$$$,3,49.27129807379498,-123.13585121318752,"49.27129807379498,-123.13585121318752",4094.9999999999995
924,Crepe & Cafe,3500 W 41st Avenue,French,3.5,40,$$,2,49.2345954626451,-123.182240724564,"49.2345954626451,-123.182240724564",9981.0
925,Japadog,8130 Ontario Street,Food Stands,4.0,76,$,1,49.21147,-123.10617,"49.21147,-123.10617",13039.0
926,Haida Sandwich,121 15th Street East,Persian/Iranian,3.5,39,$$,2,49.321793,-123.071199,"49.321793,-123.071199",11280.0
927,Aiyaohno Cafe,425 Carrall Street,Cafes,4.5,5,,0,49.28108,-123.1049,"49.28108,-123.1049",1277.0
928,Troll's,6408 Bay Street,Fish & Chips,3.0,185,$$,2,49.3744603,-123.2745354,"49.3744603,-123.2745354",21675.0
929,Chefhyve,2525 Kingsway,Fish & Chips,4.5,12,,0,49.240044,-123.0537825,"49.240044,-123.0537825",7848.0
930,Trattoria Kitchen,1850 W 4th Avenue,Italian,3.5,311,$$,2,49.2674716476322,-123.146645910264,"49.2674716476322,-123.146645910264",4379.0
931,The Butcher & Bullock,911 W Pender St,Canadian (New),3.5,109,$$,2,49.28628,-123.1173056,"49.28628,-123.1173056",602.0
932,Big Way Hot Pot,7-4300 Kingsway,Hot Pot,3.5,35,,0,49.23097,-123.00875,"49.23097,-123.00875",13377.0
933,Bbq Chicken,1037 Granville Street,Barbeque,0.0,0,,0,49.2789398,-123.1237695,"49.2789398,-123.1237695",1574.0
