Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
Kokoro Tokyo Mazesoba,2285 W 41st Avenue,Japanese,4.0,17,,0,49.2347918,-123.1593201
Don Oso's,1305 Commercial Drive,Latin American,3.5,13,,0,49.27283657548601,-123.06985180824996
Nostos Taverna,3162 W Broadway,Greek,5.0,8,,0,49.2640613,-123.1751526
Mapo Pancake House,1130 Mainland Street,Korean,4.0,14,,0,49.275021,-123.1211145
Gain Wah Restaurant,218 Keefer Street,Chinese,4.0,145,$,1,49.2793251,-123.0991638
The Second Floor Bistro,2665 Renfrew Street,Bistros,5.0,3,,0,49.2603455,-123.044426
MILA Plant-Based,185 Keefer Street,Vegan,4.5,75,,0,49.27963,-123.10017
Melville Cafe,1170 Melville Street,Salad,4.5,37,$,1,49.2873714,-123.123683
Zaatar W Zeit,531 Granville Street,Lebanese,4.0,47,$$,2,49.2844377,-123.1154382
Shiro,3096 Cambie Street,Japanese,4.0,243,$$,2,49.2580042,-123.1149151
Chewie's Chicken & Biscuits,2822 West 4th Avenue,Sandwiches,4.5,139,$$,2,49.26809,-123.1688
Mandarin Hong Kong Cafe,904 W King Edward Avenue,Asian Fusion,3.5,47,$$,2,49.24863584054912,-123.12525091003072
Oceans 999,Pan Pacific Vancouver,Canadian (New),3.5,27,$$$,3,49.2881297,-123.1148699
Regal Mansion Cuisine Seafood Restaurant,201 - 555 west 12th Avenue,Chinese,3.5,23,,0,49.26099858201743,-123.11651119496848
Davie Dosa Company,1235 Davie Street,Indian,4.0,184,$$,2,49.282117,-123.1335987
RedBeef Noodle Kitchen,1947 W 4th Avenue,Taiwanese,4.0,105,$$,2,49.2681986,-123.1490359
Bai Bua Thai Cuisine,2443 E Hastings Street,Thai,4.0,133,$$,2,49.28142,-123.05564
Banh Mi Saigon,5397 Victoria Drive,Vietnamese,4.0,242,$,1,49.23536,-123.06588
Blaze Gourmet Burgers,43 E 5th Avenue,Fast Food,5.0,19,$$,2,49.2666437,-123.1037431
South Castle Korean Restaurant,141 2nd Street E,Korean,4.0,54,$$,2,49.3113895,-123.0752161
China Gate Beijing Duck & Dumpling House,3665 Kingsway,Chinese,4.0,8,,0,49.23267,-123.0242
Impostori Trattoria + Negroni Bar,3121 Granville Street,Italian,4.5,2,,0,49.25771,-123.13921
Little Minh's,7533 Market Crossing,Vietnamese,4.5,123,$$,2,49.1990675,-122.9799962
The Northern Cafe and Grill,1640 East Kent Avenue,Cafes,5.0,211,$$,2,49.2806151,-122.7596073
Aperture Coffee Bar,243 W Broadway,Coffee & Tea,4.0,122,$$,2,49.2632037459,-123.110469593
The Hoke Poke,1834 W 4th Avenue,Seafood,4.5,58,$$,2,49.2678847,-123.1464462
Jess' Restaurant,2179 W 41st Ave,Asian Fusion,4.0,32,$$$,3,49.23469310222751,-123.15724723041058
The Arbor,3941 Main Street,Vegetarian,4.0,143,$$,2,49.2499965,-123.1012256
